Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Wasim Kareem Shaikh,LIMBAYAT,4,Literate,642000, 32216,IND,"Rs 6,42,000 ~ 6 Lacs+"
Ram Murat Maurya (Comrade),LIMBAYAT,0,10th Pass,669233, 0,SUCI(C),"Rs 6,69,233 ~ 6 Lacs+"
Farukhasha Shabbirsha,LIMBAYAT,0,5th Pass,701028, 123819,IND,"Rs 7,01,028 ~ 7 Lacs+"
Rekhaben Satishbhai Patel,LIMBAYAT,0,Illiterate,1095000, 70000,IND,"Rs 10,95,000 ~ 10 Lacs+"
Arun Pathak (Gabbar),LIMBAYAT,4,Others,1917542, 0,IND,"Rs 19,17,542 ~ 19 Lacs+"
Pankajbhai Tayade,LIMBAYAT,1,8th Pass,2021227, 0,AAP,"Rs 20,21,227 ~ 20 Lacs+"
Akram Vahidulla Ansari,LIMBAYAT,12,Literate,14151000, 0,IND,"Rs 1,41,51,000 ~ 1 Crore+"
Sangitaben Rajendra Patil,LIMBAYAT,0,Graduate,21066861, 4332129,BJP,"Rs 2,10,66,861 ~ 2 Crore+"
Parmar Dilipbhai Mohanbhai,LIMBDI,0,10th Pass,26000, 0,IND,"Rs 26,000 ~ 26 Thou+"
Dhoriya Rameshbhai Bhavabhai,LIMBDI,0,8th Pass,40000, 0,IND,"Rs 40,000 ~ 40 Thou+"
Rathod Yogeshbhai Jethabhai,LIMBDI,0,5th Pass,52000, 0,IND,"Rs 52,000 ~ 52 Thou+"
Chavda Mahendrakumar Maganbhai,LIMBDI,1,Graduate Professional,60000, 0,IND,"Rs 60,000 ~ 60 Thou+"
Makwana Prakashbhai Pitambarbhai,LIMBDI,1,8th Pass,60000, 0,IND,"Rs 60,000 ~ 60 Thou+"
Lakhmanbhai Chaturbhai Velani,LIMBDI,1,Illiterate,70721, 0,IND,"Rs 70,721 ~ 70 Thou+"
Makvana Maheshbhai Merabhai,LIMBDI,1,10th Pass,76500, 0,IND,"Rs 76,500 ~ 76 Thou+"
Rahulbhai Madhabhai Zarmariya,LIMBDI,0,10th Pass,106000, 0,IND,"Rs 1,06,000 ~ 1 Lacs+"
Mavjibhai Viththalbhai Panchala,LIMBDI,0,Illiterate,151000, 0,IND,"Rs 1,51,000 ~ 1 Lacs+"
Gabu Nagjibhai Mohanbhai,LIMBDI,0,5th Pass,738569, 300000,Rashtra Nirman Party,"Rs 7,38,569 ~ 7 Lacs+"
Mayurbhai Merabhai Sakariya,LIMBDI,1,12th Pass,969000, 0,AAP,"Rs 9,69,000 ~ 9 Lacs+"
Jayesh Hansrajbhai Thakor (Tamboliya),LIMBDI,2,10th Pass,1385000, 2000000,IND,"Rs 13,85,000 ~ 13 Lacs+"
Rajesh Dalal,LIMBDI,1,10th Pass,1708272, 0,Garvi Gujarat Party,"Rs 17,08,272 ~ 17 Lacs+"
Kalpanaben Bijalbhai Dhoriya,LIMBDI,0,Graduate Professional,11598307, 7448813,INC,"Rs 1,15,98,307 ~ 1 Crore+"
Kiritsinh Jitubha Rana,LIMBDI,0,10th Pass,21347937, 0,BJP,"Rs 2,13,47,937 ~ 2 Crore+"
Gopalbhai Gabhabhai Joliya,MAHUVA,0,Graduate Professional,20000, 0,IND,"Rs 20,000 ~ 20 Thou+"
Nanjibhai Harasurbhai Baraiya (Nanjibhai Baraiya),MAHUVA,2,5th Pass,25000, 0,IND,"Rs 25,000 ~ 25 Thou+"
Mahebubbhai Alarakhbhai Shekh,MAHUVA,0,5th Pass,242000, 0,IND,"Rs 2,42,000 ~ 2 Lacs+"
Sankhat Savjibhai Bhagvanbhai (Koli Savaram Sankhat),MAHUVA,0,Literate,265000, 0,Vyavastha Parivartan Party,"Rs 2,65,000 ~ 2 Lacs+"
Hojefa Ikbalbhai Hingora,MAHUVA,0,5th Pass,291000, 50000,IND,"Rs 2,91,000 ~ 2 Lacs+"
Dr. Kanubhai V. Kalsaria,MAHUVA,2,Post Graduate,1489046, 0,INC,"Rs 14,89,046 ~ 14 Lacs+"
